1;MQ-3;MQ-4;PRESION
549;88;157;122
550;88;156;121
551;88;158;122
552;88;156;121
553;88;157;122
554;88;157;119
555;89;158;122
556;88;156;120
557;90;156;121
558;89;158;122
559;89;158;120
560;87;158;122
561;86;156;121
562;87;158;120
563;86;157;122
564;88;156;118
565;86;157;121
566;88;156;120
567;87;158;119
568;86;156;121
569;87;158;122
570;86;156;121
571;86;156;121
572;91;158;121
573;98;158;118
574;91;158;120
575;101;158;119
576;93;159;120
577;90;157;119
578;90;156;118
579;93;158;120
580;92;156;117
581;89;158;119
582;87;158;118
583;87;158;117
584;85;158;120
585;85;156;117
586;85;156;119
587;85;157;118
588;84;156;119
589;84;157;119
590;84;158;119
591;85;158;121
592;85;156;118
593;85;156;118
594;83;158;119
595;83;157;119
596;82;156;119
597;82;156;119
598;83;158;119
599;83;158;119
600;84;156;118
601;77;157;119
602;80;157;119
603;83;158;117
604;82;156;118
605;83;158;117
606;83;158;118
607;84;158;118
608;82;157;119
609;84;157;119
610;84;156;117
611;86;158;120
612;90;158;118
613;88;157;122
614;90;158;120
615;89;159;120
616;88;157;121
617;92;157;117
618;98;158;116
619;95;158;119
620;95;158;117
621;95;157;116
622;94;157;114
623;92;157;117
624;92;157;116
625;86;159;117
626;83;159;118
627;91;158;118
628;95;148;118
629;95;154;120
630;95;145;118
631;93;149;120
632;93;148;119
633;93;162;121
634;93;151;122
635;96;175;123
636;93;151;121
637;93;151;122
638;90;151;123
639;90;151;124
640;87;150;122
641;86;150;120
642;86;156;120
643;86;156;121
644;84;154;121
645;86;155;120
646;84;152;121
647;86;153;120
648;85;154;122
649;85;154;122
650;85;153;122
651;86;153;120
652;85;155;122
653;87;156;120
654;87;156;120
655;87;157;122
656;87;158;124
657;87;158;120
658;87;162;122
659;87;158;120
660;87;159;121
661;87;159;122
662;87;155;122
663;86;155;121
664;87;154;120
665;87;152;120
666;86;153;121
667;87;152;120
668;85;149;122
669;87;148;120
670;85;147;122
671;85;145;122
672;85;140;121
673;87;142;122
674;87;142;120
675;87;140;120
676;87;142;120
677;87;141;120
678;88;140;120
679;86;140;121
680;87;143;120
681;87;143;122
682;87;142;120
683;88;140;120
684;88;140;120
685;88;140;120
686;83;142;120
687;85;142;127
688;86;140;122
689;84;144;122
690;87;145;120
691;85;150;122
692;85;154;122
693;87;160;120
694;84;146;121
695;84;147;122
696;87;148;120
697;86;146;120
698;85;143;126
699;MQ-3;MQ-4;PRESION
700;62;73;126
701;68;76;124
702;76;79;124
703;81;84;123
704;87;89;124
705;90;94;123
706;94;98;124
707;94;102;124
708;95;106;124
709;96;111;124
710;96;115;125
711;96;119;124
712;96;124;125
713;96;127;124
714;95;130;124
715;95;131;124
716;94;132;124
717;93;135;124
718;MQ-3;MQ-4;PRESION
719;95;142;134
720;MQ-3;MQ-4;PRESION
721;95;143;133
722;MQ-3;MQ-4;PRESION
723;62;85;131
724;MQ-3;MQ-4;PRESION
725;91;89;120
726;MQ-3;MQ-4;PRESION
727;43;71;120
728;94;147;135
729;93;132;137
730;88;129;138
731;88;124;137
732;90;124;140
733;87;124;140
734;84;124;139
735;81;127;140
736;84;125;139
737;83;130;142
738;81;125;140
739;78;124;142
740;80;121;140
741;77;119;138
742;80;117;142
743;80;119;141
744;83;119;135
745;83;117;140
746;84;116;134
747;78;120;144
748;76;117;140
749;79;116;142
750;79;114;144
751;76;114;140
752;78;116;136
753;76;112;133
754;76;113;140
755;77;112;141
756;78;112;142
757;79;114;142
758;79;112;136
759;79;110;142
760;77;111;143
761;77;112;141
762;79;111;144
763;77;115;143
764;79;118;144
765;76;117;143
766;77;115;142
767;77;114;142
768;76;113;143
769;78;112;144
770;76;112;145
771;77;113;142
772;77;114;143
773;78;113;144
774;76;112;137
775;79;112;144
776;77;112;145
777;77;112;140
778;79;116;143
779;79;116;146
780;79;116;148
781;79;115;145
782;78;113;146
783;76;113;149
784;79;114;146
785;79;116;149
786;76;114;149
787;77;115;150
788;75;116;145
789;72;116;157
790;73;119;162
791;75;116;164
792;75;118;168
793;72;114;171
794;74;113;194
795;75;116;180
796;74;114;195
797;73;115;169
798;73;116;180
799;72;116;185
800;70;116;256
801;74;124;169
802;74;128;166
803;76;121;166
804;73;120;164
805;73;118;167
806;73;116;164
807;73;118;161
808;74;117;164
809;72;112;161
810;73;114;168
811;72;112;165
812;73;116;168
813;73;119;164
814;72;121;166
815;73;120;171
816;74;121;167
817;71;124;172
818;71;125;166
819;70;125;167
820;71;126;166
821;72;128;167
822;71;126;166
823;70;123;162
824;70;121;166
825;70;122;153
826;71;126;168
827;72;125;166
828;74;128;169
829;72;131;161
830;73;138;156
831;73;130;166
832;70;131;162
833;71;134;170
834;73;136;162
835;73;133;172
836;74;134;156
837;74;136;162
838;74;148;166
839;73;167;167
840;73;158;168
841;74;159;167
842;72;159;167
843;74;165;166
844;74;175;168
845;73;182;165
846;73;183;163
847;74;186;166
