364, 650 502 113 31.25;
365, 650 502 112 31.25;
366, 650 502 113 31.25;
367, 650 502 112 31.25;
368, 650 502 113 31.25;
369, 650 502 112 31.25;
370, 650 501 112 31.25;
371, 649 502 113 31.25;
372, 650 502 113 31.25;
373, 650 502 112 31.25;
374, 649 501 112 31.25;
375, 650 501 112 31.25;
376, 650 502 112 31.25;
377, 650 502 114 31.25;
378, 650 502 112 31.25;
379, 650 502 113 31.25;
380, 650 502 113 31.25;
381, 650 501 112 31.25;
382, 650 502 111 31.25;
383, 649 502 113 31.25;
384, 0 502 112 31.25;
385, 650 502 114 31.25;
386, 650 502 113 31.25;
387, 650 502 113 31.25;
388, 650 502 113 31.25;
389, 650 502 112 31.31;
390, 650 502 112 31.25;
391, 650 502 112 31.19;
392, 650 502 112 31.31;
393, 650 502 113 31.25;
394, 650 502 112 31.25;
395, 649 501 113 31.25;
396, 650 502 113 31.25;
397, 650 502 112 31.25;
398, 649 502 113 31.25;
399, 650 502 112 31.25;
400, 650 501 112 31.31;
401, 650 502 114 31.25;
402, 650 0 31 31.25;
403, 650 502 112 31.25;
404, 650 502 113 31.25;
405, 650 502 112 31.25;
406, 650 501 112 31.25;
407, 650 502 113 31.25;
408, 649 501 113 31.25;
409, 650 502 112 31.25;
410, 650 502 112 31.25;
411, 650 502 113 31.25;
412, 650 502 113 31.25;
413, 649 502 113 31.25;
414, 650 502 112 31.25;
415, 650 501 112 31.25;
416, 650 502 112 31.25;
417, 650 502 113 31.25;
418, 650 502 113 31.25;
419, 650 502 112 31.25;
420, 650 502 113 31.2;
421, 650 502 112 31.25;
422, 650 502 113 31.25;
423, 650 501 112 31.25;
424, 650 502 114 31.25;
425, 650 502 112 31.25;
426, 650 502 112 31.25;
427, 650 502 113 31.25;
428, 649 501 113 31.31;
429, 651 501 112 31.25;
430, 650 502 113 31.25;
431, 650 501 112 31.25;
432, 650 501 113 31.25;
433, 650 502 112 31.25;
434, 650 502 113 31.25;
435, 650 502 113 31.25;
436, 650 502 112 31.25;
437, 650 501 113 31.25;
438, 650 502 113 31.25;
439, 649 501 113 31.25;
440, 650 502 114 31.25;
441, 650 502 112 31.25;
442, 650 501 112 31.25;
443, 650 501 112 31.25;
444, 649 501 113 31.25;
445, 650 501 113 31.25;
446, 651 501 112 31.25;
447, 650 502 113 31.25;
448, 650 501 112 31.25;
449, 650 502 112 31.31;
450, 650 501 112 31.25;
451, 650 502 112 31.31;
452, 650 502 112 31.25;
453, 650 501 112 31.25;
454, 650 502 112 31.25;
455, 650 501 112 31.25;
456, 650 502 112 25.;
457, 650 502 112 31.25;
458, 649 501 113 31.25;
459, 649 501 113 31.25;
460, 650 502 112 31.25;
461, 649 501 113 31.25;
462, 650 502 112 31.31;
463, 650 502 114 31.25;
464, 649 501 112 31.25;
465, 650 502 112 31.31;
466, 650 501 112 31.31;
467, 650 501 113 31.31;
468, 650 501 112 31.25;
469, 650 501 112 31.25;
470, 650 501 112 31.25;
471, 650 501 113 31.25;
472, 649 501 113 31.25;
473, 650 502 112 31.31;
474, 650 501 112 31.25;
475, 650 501 112 31.25;
476, 650 501 112 31.25;
477, 650 502 113 31.31;
478, 650 502 113 31.25;
479, 650 502 114 31.25;
480, 650 502 112 31.25;
481, 650 502 114 31.31;
482, 650 501 112 31.25;
483, 650 502 114 31.25;
484, 650 501 112 31.25;
485, 650 501 113 31.25;
486, 651 501 112 31.25;
487, 650 502 112 31.25;
488, 650 502 113 31.25;
489, 650 502 112 31.25;
490, 651 502 114 31.25;
491, 650 501 113 31.25;
492, 651 502 112 31.25;
493, 651 501 112 31.25;
494, 651 113 31 31.25;
495, 651 502 113 31.25;
496, 651 502 114 31.31;
497, 651 502 113 31.31;
498, 651 502 113 31.31;
499, 651 502 113 31.31;
500, 651 502 113 31.25;
501, 651 502 111 31.25;
502, 650 502 113 31.25;
503, 651 502 114 31.31;
504, 651 502 114 31.31;
505, 651 503 112 31.25;
506, 651 502 113 31.31;
507, 651 502 113 31.25;
508, 651 502 114 31.31;
509, 651 501 112 31.31;
510, 651 502 114 31.31;
511, 651 502 112 31.31;
512, 651 501 112 0.;
513, 651 502 112 31.31;
514, 651 501 113 31.25;
515, 651 503 112 31.25;
516, 651 502 113 31.25;
517, 651 502 114 31.25;
518, 651 501 112 31.31;
519, 651 502 113 31.25;
520, 650 501 112 31.25;
521, 651 502 111 31.31;
522, 651 501 112 31.31;
